,Name
0,ابرايم
1,ااسلم
2,لابراء
3,الحي
4,الرضخ
5,ابلعابدين
6,الثنى
7,دآدم
8,ابأن
9,بلج
10,أب وبكر
11,أجاأويد
12,أجد
13,أمحمد
14,أحفن
15,أخز
16,خأضر
17,أخطبب
18,أعج
19,أغدغم
20,مدهأ
21,أدي
22,أدغر
23,أأرقم
24,ريب
25,رأزهر
26,رزوأ
27,أامة
28,أدس
29,أأسعد
30,أسم
31,أسأمر
32,شأجع
33,أشر
34,أمرش
35,أقشقر
36,أهب
37,شأشهم
38,أيشم
39,أيل
40,سعأر
41,أأغلب
42,أغي
43,أبكبر
44,أمثك
45,أكم
46,أكلم
47,مأمان
48,أجد
49,أميية
50,أريم
51,أمي
52,نأس
53,أنعمم
54,نمار
55,أرنور
56,يهأم
57,أو
58,سويأ
59,أييسر
60,أين
61,هأيهم
62,أبوي
63,إبراهم
64,حإسان
65,إردريس
66,إسحق
67,إسلاإم
68,إعماسيل
69,إا
70,إيدا
71,اإياس
72,إهاب
73,بالتل
74,بادي
75,باح
76,ابرع
77,بابسط
78,بسق
79,باسسل
80,ابسم
81,اشق
82,برها
83,بردر
84,بيع
85,باراء
86,ربد
87,بران
88,بماس
89,مبسيم
90,بشر
91,بششارة
92,شبر
93,بير
94,بحاط
95,ببطرس
96,بار
97,بكرر
98,بكري
99,با
100,بلغي
101,بنددر
102,بها
103,بهبجت
104,بهلول
105,بهج
106,ئاتب
107,اتامر
108,تري
109,تلغلب
110,تيق
111,تلد
112,متام
113,تيميم
114,تاب
115,يتوفيق
116,تيسير
117,تي
118,اثئب
119,ثائئر
120,ثاب
121,ثوروت
122,ثاينن
123,ثوب
124,جابر
125,جاازم
126,جاس
127,جاعمع
128,ربج
129,جبان
130,جبل
131,جادعان
132,جرا
133,جريجر
134,جسسا
135,جعف
136,لجال
137,جلييل
138,مال
139,ججمعان
140,جةعم
141,جمل
142,جدانة
143,جنددل
144,جاد
145,جوواد
146,جوةد
